name,link,monWT,tueWT,wedWT,thuWT,friWT,satWT,sunWT,avgBill,rating,rateAmount,address,distMetro,metro,photoAmount,menuPositions,reviewsAmount,cuisine,tablesAmount,phoneListed,reservationButton,categories,name_repeats,lat,lon,metro_m^2
Anna Bistro,https://yandex.ru/maps/org/anna_bistro/206746299036/,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,09:00–00:00,09:00–00:00,09:00–23:00,2500-3000,5.0,169.0,"Москва, Ленинградский просп., 36, стр. 38",530 м,Динамо,149.0,19,127.0,европейская,15,True,False,"Ресторан, Кафе, Бар",1,55.789472,37.567186,
Арарат,https://yandex.ru/maps/org/ararat/116382226297/,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,900-1500,4.6,27.0,"Москва, просп. Мира, 119, стр. 68","1,19 км",ВДНХ,46.0,162,13.0,европейская,,True,False,"Ресторан, Банкетный зал, Доставка еды и обедов",4,55.830872,37.633733,
Arild,https://yandex.ru/maps/org/arild/114290061722/,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,,4.7,78.0,"Москва, Самарская ул., 1",760 м,Проспект Мира,48.0,0,47.0,"авторская, международная, итальянская, европейская",10–14,True,False,"Бар, Ресторан",1,55.784774,37.62616,
Arium by Brosko,https://yandex.ru/maps/org/arium_by_brosko/49447767102/,12:00–21:00,12:00–21:00,12:00–21:00,12:00–21:00,12:00–21:00,12:00–21:00,12:00–21:00,1200-3000,4.7,118.0,"Москва, ул. Малая Дмитровка, 25, стр. 3",600 м,Маяковская,80.0,103,60.0,"европейская, восточная, азербайджанская",,True,False,"Ресторан, Кальян-бар, Бар",1,55.77077,37.604026,
Арома,https://yandex.ru/maps/org/aroma/235897515946/,,,,,,,,600-1200,4.2,461.0,"Москва, Ленинградский просп., 39",610 м,Аэропорт,83.0,192,242.0,"европейская, итальянская, русская, авторская, смешанная",20–30,True,True,"Ресторан, Доставка еды и обедов, Кафе",2,55.790717,37.54215,
Асадор,https://yandex.ru/maps/org/asador/116526698857/,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,1500-3000,4.9,77.0,"Москва, Рождественский бул., 1",248 м,Трубная,42.0,19,47.0,аргентинская,10–15,True,False,"Ресторан, Быстрое питание, Бар",1,55.766749,37.624211,
Atlantica Bistro,https://yandex.ru/maps/org/atlantica_bistro/35227852283/,08:00–00:00,08:00–00:00,08:00–00:00,08:00–00:00,08:00–00:00,08:00–00:00,08:00–00:00,1000-25000,5.0,841.0,"Москва, ул. Большая Дмитровка, 23, стр. 1",158 м,Пушкинская,517.0,8,747.0,"средиземноморская, рыбная, авторская",30–60,True,True,Ресторан,2,55.765954,37.609694,
Atlas Terrace,https://yandex.ru/maps/org/atlas_terrace/178463550554/,12:00–16:00,Выходной,Выходной,Выходной,Выходной,Выходной,Выходной,2000-2500,4.8,43.0,"Москва, Столярный пер., 3, корп. 17",560 м,Улица 1905 года,89.0,199,34.0,европейская,400–413,True,False,"Ресторан, Кальян-бар, Бар",1,55.764592,37.569099,
Authentic Lovers,https://yandex.ru/maps/org/authentic_lovers/217014078825/,11:00–02:00,11:00–02:00,11:00–02:00,11:00–02:00,11:00–02:00,11:00–06:00,11:00–06:00,,4.6,138.0,"Москва, 2-я Звенигородская ул., 12, стр. 1",550 м,Улица 1905 года,77.0,62,85.0,"европейская, арабская, смешанная, азиатская, паназиатская, корейская, фьюжн, индийская, китайская",13–15,True,False,"Ресторан, Кальян-бар",1,55.762237,37.557816,
AVA,https://yandex.ru/maps/org/ava/42192706478/,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,2500-3500,4.9,5994.0,"Москва, Малая Бронная ул., 21/13с2",750 м,Пушкинская,411.0,82,2709.0,"европейская, авторская, средиземноморская",20,True,False,Ресторан,1,55.762784,37.594602,
Avero mio,https://yandex.ru/maps/org/avero_mio/171164381216/,09:00–00:00,09:00–00:00,09:00–00:00,09:00–00:00,09:00–00:00,09:00–00:00,09:00–00:00,2500-4500,5.0,131.0,"Москва, ул. Петровка, 34, стр. 1",490 м,Пушкинская,287.0,129,100.0,"итальянская, европейская",20–80,True,True,"Ресторан, Банкетный зал, Кафе",1,55.768704,37.613332,
Август 13,https://yandex.ru/maps/org/avgust_13/54557296996/,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,500-1500,4.7,1478.0,"Москва, Дмитровское ш., 13",285 м,Тимирязевская,127.0,88,1028.0,"европейская, итальянская, домашняя",,True,True,"Ресторан, Банкетный зал, Пиццерия",1,55.817355,37.573115,
Avrora,https://yandex.ru/maps/org/avrora/96657563283/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,,4.7,1803.0,"Москва, Цветной бул., 2",173 м,Трубная,1302.0,141,1030.0,,,True,False,Ресторан,1,55.768025,37.623483,
