name,link,monWT,tueWT,wedWT,thuWT,friWT,satWT,sunWT,avgBill,rating,rateAmount,adress,distMetro,metro,photoAmount,menuPositions,reviewsAmount
Ани,https://yandex.ru/maps/org/ani/1203356800/,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,1000-1500,4.4,595,"ул. Руднёвка, 14, Москва",890,Лухмановская,80,35,242
Анна Варенина,https://yandex.com/maps/org/anna_varenina/137920633719/,09:00–22:00,09:00–22:00,09:00–22:00,09:00–22:00,09:00–22:00,09:00–22:00,09:00–22:00,700-1500,5.0,102,"Корабельная ул., 9А, Москва",450,Нагатинский Затон,103,34,84
Анненфельд,https://yandex.ru/maps/org/annenfeld/1027432904/,11:30–23:00,11:30–23:00,11:30–23:00,11:30–23:00,11:30–23:00,11:30–23:00,11:30–23:00,1000-1500,4.3,750,"Уральская ул., 17, Москва",1,Щёлковская,88,137,376
Аперитивная,https://yandex.ru/maps/org/aperitivnaya/165956735470/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–02:00,12:00–02:00,12:00–00:00,1000-2000,4.8,667,"Кривоколенный пер., 10, стр. 5, Москва",480,Тургеневская,151,0,322
Раковарня AquaEco № 1,https://yandex.com/maps/org/aquaecorest/60713554961/,11:00–00:00,11:00–00:00,11:00–00:00,11:00–00:00,11:00–00:00,11:00–02:00,11:00–02:00,1600-3000,5.0,108,"Рабочая ул., 15, Щёлково",,,39,35,82
Aquarium,https://yandex.ru/maps/org/aquarium/35131238415/,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,,4.9,1578,"2-й Грайвороновский пр., 42, корп. 4, Москва",610,Стахановская,259,80,808
Арабеска,https://yandex.com/maps/org/arabeska/218094796520/,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,100-500,4.6,264,"Щербаковская ул., 32/7, Москва",750,Семёновская,55,37,181
Arabist,https://yandex.com/maps/org/arabist/1020286819/,12:00–04:00,12:00–04:00,12:00–04:00,12:00–04:00,12:00–04:00,12:00–04:00,12:00–04:00,1500-2000,4.4,1345,"Большая Андроньевская ул., 23, Москва",980,Площадь Ильича,170,96,647
Арахис,https://yandex.ru/maps/org/arakhis/110211815458/,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,12:00–23:00,10:00–23:00,1000-1500,4.4,385,"Ферганская ул., 6, корп. 2, Москва",1,Юго-Восточная,29,84,191
Арарат,https://yandex.com/maps/org/ararat/1072099466/,13:00–23:00,13:00–23:00,13:00–23:00,13:00–23:00,13:00–23:00,13:00–23:00,13:00–23:00,3000-5000,4.5,140,"Неглинная ул., 4, Москва",320,Театральная,92,0,31
Арарат,https://yandex.ru/maps/org/ararat/1079687245/,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,900-1500,4.7,5280,"просп. Мира, 119, стр. 68, Москва",1,ВДНХ,328,89,2379
Арарат,https://yandex.ru/maps/org/ararat/70976680839/,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,900-1500,4.6,1402,"ул. Арбат, 32, Москва",490,Смоленская,295,77,693
Араратская долина,https://yandex.ru/maps/org/araratskaya_dolina/168926119981/,11:00–01:00,11:00–01:00,11:00–01:00,11:00–01:00,11:00–00:00,11:00–00:00,11:00–01:00,1000-1500,4.7,1089,"Носовихинское ш., 249А, микрорайон Салтыковка, Балашиха",4,Новокосино,126,4,367
Archie,https://yandex.com/maps/org/archie/121389204801/,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–13:00,09:00–00:00,09:00–23:00,2500-2500,4.8,1393,"Комсомольский просп., 42, стр. 2, Москва",680,Спортивная,103,63,656
Арго,https://yandex.ru/maps/org/argo/228882745340/,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,800-800,4.7,1868,"Ленинский просп., 25, Москва",1,Шаболовская,105,62,967
Арго - у Дяди Бори,https://yandex.ru/maps/org/argo_u_dyadi_bori/205256651282/,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,700-1300,5.0,1095,"Октябрьский просп., 203, Люберцы",3,Котельники,187,85,731
Ариана,https://yandex.ru/maps/org/ariana/1121238653/,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–00:00,12:00–00:00,12:00–00:00,1500-3000,4.4,1256,"Привольная ул., 70, Москва",400,Котельники,61,0,555
Армения,https://yandex.com/maps/org/armenia/1133929046/,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,1500-2500,4.3,2010,"Тверской бул., 28/17, Москва",6,Тверская,331,102,896
